iter	Passed	Remaining
0	1	101
1	1	92
2	2	87
3	3	83
4	4	81
5	5	79
6	5	77
7	6	76
8	7	74
9	8	73
10	8	72
11	9	71
12	10	70
13	12	74
14	12	73
15	13	72
16	14	71
17	15	69
18	15	68
19	16	66
20	17	65
21	18	64
22	19	63
23	19	61
24	19	59
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	31	48
39	32	48
40	33	47
41	33	46
42	34	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	55	25
68	55	25
69	57	24
70	57	23
71	58	22
72	59	22
73	60	21
74	61	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
