iter	RMSE
236	4.650581792
237	4.649106255
238	4.647470045
239	4.645288841
240	4.642612681
241	4.636810203
242	4.633053955
243	4.63027431
244	4.626965964
245	4.622349722
246	4.617628859
247	4.614011401
248	4.610983103
249	4.609581563
250	4.606331314
251	4.602199143
252	4.599564177
253	4.595805222
254	4.594987257
255	4.594057908
256	4.590601664
257	4.58472133
258	4.580792978
259	4.57980968
260	4.575767268
261	4.571246922
262	4.566628149
263	4.564533077
264	4.56213633
265	4.556781393
266	4.553361684
267	4.55070065
268	4.544175382
269	4.539750348
270	4.537263992
271	4.53255212
272	4.5260376
273	4.524284444
274	4.521936457
275	4.518040636
276	4.516760245
277	4.512430388
278	4.509211324
279	4.508725079
280	4.505985088
281	4.504544681
282	4.50102469
283	4.49640448
284	4.492796594
285	4.489897551
286	4.486174024
287	4.485190826
288	4.484241892
289	4.480814602
290	4.477789446
291	4.476869367
292	4.475389541
293	4.474196806
294	4.473301273
295	4.469680682
296	4.46661755
297	4.460442046
298	4.453897112
299	4.452441353
300	4.448850375
301	4.44729897
302	4.441061165
303	4.440479292
304	4.436439207
305	4.433971424
306	4.430657008
307	4.426592446
308	4.419904493
309	4.415665127
310	4.410323743
311	4.404410543
312	4.399210184
313	4.397532223
314	4.392616236
315	4.385698908
316	4.382792958
317	4.378700664
318	4.374765596
319	4.374437627
320	4.370117463
321	4.367216617
322	4.366538098
323	4.361266295
324	4.358354596
325	4.353487541
326	4.351553679
327	4.348900441
328	4.345127174
329	4.343589266
330	4.341164176
331	4.339685414
332	4.335506329
333	4.331813949
334	4.327890834
335	4.325267203
336	4.320408123
337	4.319909022
338	4.319268744
339	4.313987733
340	4.310783988
341	4.30647546
342	4.303313779
343	4.300150203
344	4.295863345
345	4.294965662
346	4.292146544
347	4.290292483
348	4.286838688
349	4.284396948
350	4.280347444
351	4.275594842
352	4.27074508
353	4.268712982
354	4.261978184
355	4.261611813
356	4.257427052
357	4.254784062
358	4.249843905
359	4.247605879
360	4.24530429
361	4.24034504
362	4.23581898
363	4.232899465
364	4.232438235
365	4.228124917
366	4.22434406
367	4.223294635
368	4.22018282
369	4.216165699
370	4.212102011
371	4.207612782
372	4.205637688
373	4.205335813
374	4.204102867
375	4.202643791
376	4.198857718
377	4.195469068
378	4.194412569
379	4.192621737
380	4.189976086
381	4.189781314
382	4.186480837
383	4.182156732
384	4.177044921
385	4.172580527
386	4.168653376
387	4.164420872
388	4.163792926
389	4.159870868
390	4.156379881
391	4.155714105
392	4.152907642
393	4.147707172
394	4.143848489
395	4.140949516
396	4.139006622
397	4.135911654
398	4.134124122
399	4.131780421
400	4.127681769
401	4.12602429
402	4.123476046
403	4.121405422
404	4.120294505
405	4.117929284
406	4.115659336
407	4.114554003
408	4.111765809
409	4.1102962
410	4.105651335
411	4.103731539
412	4.100565204
413	4.097484008
414	4.096020459
415	4.093557342
416	4.090917273
417	4.088444121
418	4.087426969
419	4.086400509
420	4.081566957
421	4.080614815
422	4.077354298
423	4.075511159
424	4.073604573
425	4.069447333
426	4.067425828
427	4.066282743
428	4.065337586
429	4.064919187
430	4.061473875
431	4.059448322
432	4.058112427
433	4.05395341
434	4.053497575
435	4.049918164
436	4.046853106
437	4.044314637
438	4.041970254
439	4.039848104
440	4.037888565
441	4.03749477
442	4.034051599
443	4.030777614
444	4.027001553
445	4.023617596
446	4.02134806
447	4.017595471
448	4.013421182
449	4.012183586
450	4.010343025
451	4.009430478
452	4.009024068
453	4.003407846
454	4.002242011
455	4.001767931
456	3.998419247
457	3.998259332
458	3.997409889
459	3.996970772
460	3.992467469
461	3.99046466
462	3.989009948
463	3.987844671
464	3.984793899
465	3.981122901
466	3.977878303
467	3.975445653
468	3.971872571
469	3.96815645
470	3.967961633
471	3.964523799
472	3.96246624
473	3.958752946
474	3.955977227
475	3.951949274
476	3.951090951
477	3.948717741
478	3.947922515
479	3.945659878
480	3.94433247
481	3.941876103
482	3.941636526
483	3.938643954
484	3.935725275
485	3.930671523
486	3.928822641
487	3.926038797
488	3.924624723
489	3.924161031
490	3.922793913
491	3.921595353
492	3.918601938
493	3.916413136
494	3.915011181
495	3.910557913
496	3.906358411
497	3.905640907
498	3.905173073
499	3.903461323
500	3.901375864
501	3.897580507
502	3.897491555
503	3.896150009
504	3.891971031
505	3.891515128
506	3.89139734
507	3.889424849
508	3.887869421
509	3.887358749
510	3.885976038
511	3.883915176
512	3.882539637
513	3.87942495
514	3.877715776
515	3.876809196
516	3.875623834
517	3.872929277
518	3.869213403
519	3.865630015
520	3.864533419
521	3.864128455
522	3.860772244
523	3.859360688
524	3.859219686
525	3.857980145
526	3.856304635
527	3.853410666
528	3.847916941
529	3.847532614
530	3.844983134
531	3.843453198
532	3.841731687
533	3.839099293
534	3.837698674
535	3.832815657
536	3.829115497
537	3.827303097
538	3.825084607
539	3.822575291
540	3.822406787
541	3.820063225
542	3.817381506
543	3.813600108
544	3.807507979
545	3.801622548
546	3.799374886
547	3.798427655
548	3.797150018
549	3.793621223
550	3.792022533
551	3.790516042
552	3.787533767
553	3.784164504
554	3.780044836
555	3.776324429
556	3.773479589
557	3.768052558
558	3.767128273
559	3.763980343
560	3.763704882
561	3.763517319
562	3.760559543
563	3.758013612
564	3.756652641
565	3.75496726
566	3.752972092
567	3.751534935
568	3.751119278
569	3.750101408
570	3.747976479
571	3.744825209
572	3.744389043
573	3.743035867
574	3.739318684
575	3.738628378
576	3.735636774
577	3.734355391
578	3.732032761
579	3.728766034
580	3.726446127
581	3.723323712
582	3.722067468
583	3.719433357
584	3.716320111
585	3.713326656
586	3.713166759
587	3.711600004
588	3.707241012
589	3.704994007
590	3.702378525
591	3.69978085
592	3.69819782
593	3.69407138
594	3.69348615
595	3.691066822
596	3.689716793
597	3.68787621
598	3.685031778
599	3.680519987
600	3.678337812
601	3.675805032
602	3.674304839
603	3.671368271
604	3.669559238
605	3.667602524
606	3.665595827
607	3.662010258
608	3.66071266
609	3.65731938
610	3.657137169
611	3.653563887
612	3.651494517
613	3.649032029
614	3.646597492
615	3.644077532
616	3.643591134
617	3.641135432
618	3.639411811
619	3.637073704
620	3.634000801
621	3.633242168
622	3.63296861
623	3.632313108
624	3.632229225
625	3.630299924
626	3.629155145
627	3.627842375
628	3.627540679
629	3.626432787
630	3.624305663
631	3.622182519
632	3.620577511
633	3.619463415
634	3.619195623
635	3.615000329
636	3.610160712
637	3.609727595
638	3.606757568
639	3.606321716
640	3.605625731
641	3.603629223
642	3.600273832
643	3.599595434
644	3.595662244
645	3.594062501
646	3.592139064
647	3.589516549
648	3.587501339
649	3.585165934
650	3.583423503
651	3.578555426
652	3.573536027
653	3.572477801
654	3.570738823
655	3.56714676
656	3.565386736
657	3.564135845
658	3.561133043
659	3.560971821
660	3.557139908
661	3.55679629
662	3.55473033
663	3.55300582
664	3.551345696
665	3.547841254
666	3.547672548
667	3.544453368
668	3.540431665
669	3.537580558
670	3.535426119
671	3.534634264
672	3.531712226
673	3.528545058
674	3.526124552
675	3.525413421
676	3.521081921
677	3.520377446
678	3.518545656
679	3.517324222
680	3.517152327
681	3.515236854
682	3.512004586
683	3.510929884
684	3.509920189
685	3.508705985
686	3.506942918
687	3.506252638
688	3.504300317
689	3.501279298
690	3.499938523
691	3.499750889
692	3.498598103
693	3.497100204
694	3.496849238
695	3.496718303
696	3.494436388
697	3.492941993
698	3.49092287
699	3.487974844
700	3.486288035
701	3.48302285
702	3.481433993
703	3.480832111
704	3.480239543
705	3.477637225
706	3.476838948
707	3.474748964
708	3.47204195
709	3.46988669
710	3.467199009
711	3.46590882
712	3.465223875
713	3.464288547
714	3.463079514
715	3.462944951
716	3.460243869
717	3.4595805
718	3.458330079
719	3.456487998
720	3.455301606
721	3.453921056
722	3.452138869
723	3.451738507
724	3.450564015
725	3.447928572
726	3.444432886
727	3.441377078
728	3.440930652
729	3.437711502
730	3.436129717
731	3.435006601
732	3.432390454
733	3.432336565
734	3.432141145
735	3.428992614
736	3.428771918
737	3.428227436
738	3.427156926
739	3.424734094
740	3.422856814
741	3.421899829
742	3.421287798
743	3.418095646
744	3.417765085
745	3.417232785
746	3.415889516
747	3.414204829
748	3.413941637
749	3.412646733
750	3.412352842
751	3.410876444
752	3.40812432
753	3.407892054
754	3.406596152
755	3.404828074
756	3.403255278
757	3.401585964
758	3.399508709
759	3.398915015
760	3.397836651
761	3.39742817
762	3.396664211
763	3.39539598
764	3.394141888
765	3.394003365
766	3.392323217
767	3.38790302
768	3.387782255
769	3.38668054
770	3.385197474
771	3.384519595
772	3.383620652
773	3.382686346
774	3.380608945
775	3.380568776
776	3.379080358
777	3.377714765
778	3.376257608
779	3.373323087
780	3.371157893
781	3.367828947
782	3.363632077
783	3.362227024
784	3.359032727
785	3.358564344
786	3.357089845
787	3.355145281
788	3.353506013
789	3.352676164
790	3.350907552
791	3.348321169
792	3.34576673
793	3.345060689
794	3.344335655
795	3.344123976
796	3.342379403
797	3.341268749
798	3.340620663
799	3.336402161
800	3.335309081
801	3.332713097
802	3.328904924
803	3.327795813
804	3.327500243
805	3.327421253
806	3.325650159
807	3.324743944
808	3.323448247
809	3.321157951
810	3.31880646
811	3.317892069
812	3.317026635
813	3.31604565
814	3.315288869
815	3.314485757
816	3.311910936
817	3.311762949
818	3.310163105
819	3.307948296
820	3.305385204
821	3.301960911
822	3.298001865
823	3.297954852
824	3.294978039
825	3.291250993
826	3.291207267
827	3.28728225
828	3.286245077
829	3.285461513
830	3.280929028
831	3.278649291
832	3.277137125
833	3.276603979
834	3.275245127
835	3.275218209
836	3.274534097
837	3.272382502
838	3.271589425
839	3.269139702
840	3.2680369
841	3.264369006
842	3.261900584
843	3.258453596
844	3.255239348
845	3.254949749
846	3.254631653
847	3.252727428
848	3.249293265
849	3.249045865
850	3.248674597
851	3.247806722
852	3.247215864
853	3.243659422
854	3.242893024
855	3.242233552
856	3.240874008
857	3.239925654
858	3.237856202
859	3.236900611
860	3.232601004
861	3.231217316
862	3.228802674
863	3.226531458
864	3.224577278
865	3.223575651
866	3.220084723
867	3.217598487
868	3.2160117
869	3.214237409
870	3.212013873
871	3.209883569
872	3.206703885
873	3.204150413
874	3.202982292
875	3.200868434
876	3.199859872
877	3.199261311
878	3.196240225
879	3.196114083
880	3.193994479
881	3.190662895
882	3.189332391
883	3.18777237
884	3.185588424
885	3.184137267
886	3.183933603
887	3.181739997
888	3.181171319
889	3.17961385
890	3.178598388
891	3.17539581
892	3.174685176
893	3.173006553
894	3.16945807
895	3.166869065
896	3.1658185
897	3.164781986
898	3.162807707
899	3.16249967
900	3.160992648
901	3.15884347
902	3.156704044
903	3.154057717
904	3.151907246
905	3.151692488
906	3.149835671
907	3.147177995
908	3.145218394
909	3.143811153
910	3.141247774
911	3.140025713
912	3.136835849
913	3.134849416
914	3.132407124
915	3.132098334
916	3.131048893
917	3.129556052
918	3.125962439
919	3.124291852
920	3.121122366
921	3.12085474
922	3.120090836
923	3.120049955
924	3.12001105
925	3.118774286
926	3.117730703
927	3.115390635
928	3.114978189
929	3.114046409
930	3.112623407
931	3.111224881
932	3.11114047
933	3.110214531
934	3.106838033
935	3.106181796
936	3.105387876
937	3.104133106
938	3.102918925
939	3.100395381
940	3.099421739
941	3.097596669
942	3.095562667
943	3.095508664
944	3.093117066
945	3.090633613
946	3.090249537
947	3.088602046
948	3.088017016
949	3.087490314
950	3.08703548
951	3.085856731
952	3.084383519
953	3.082796451
954	3.082330855
955	3.081738299
956	3.08025593
957	3.078536106
958	3.075349429
959	3.074876389
960	3.073000877
961	3.069875074
962	3.068856284
963	3.067988563
964	3.067893319
965	3.066420695
966	3.06618029
967	3.064890453
968	3.063454548
969	3.061824643
970	3.06164162
971	3.061510982
972	3.05799164
973	3.054768945
974	3.053088227
975	3.052518004
976	3.051989537
977	3.051151507
978	3.049282053
979	3.049239586
980	3.048657045
981	3.047024339
982	3.045793649
983	3.045638169
984	3.044597402
985	3.043625284
986	3.04235443
987	3.041046087
988	3.040031196
989	3.039335319
990	3.03846635
991	3.037809241
992	3.034718087
993	3.033226891
994	3.032419664
995	3.031685318
996	3.030460488
997	3.027597734
998	3.026012066
999	3.025599216
